ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"202.159.35.161","elite","AS9340","ID","PT IndoInternet","163","N/A","443","socks4","2187","1","2024-02-06T17:18:15.519Z","99","6004","6040"
"51.210.43.253","elite","AS16276","FR","OVH SAS","82","OVH","7497","socks5","4294","3","2024-02-06T17:18:15.412Z","99","5926","5961"
"178.128.151.87","elite","AS14061","US","DigitalOcean, LLC","82","Digitalocean","40081","socks5","642","2","2024-02-06T17:18:15.028Z","100","6014","6038"
"85.25.103.138","elite","AS8972","FR","Host Europe GmbH","91","Host Europe GmbH","1080","socks4","309","1","2024-02-06T17:18:15.034Z","100","6077","6080"
"114.99.14.240","elite","AS4134","CN","Chinanet","219","Chinanet AH","8004","socks4","3410","2","2024-02-06T17:18:15.416Z","64","3795","5923"
"114.5.196.209","elite","AS4761","ID","PT. INDOSAT Tbk","214","PT. INDOSAT Tbk","1081","socks4","3991","1","2024-02-06T17:18:15.417Z","86","5101","5940"
"82.77.129.205","elite","AS8708","RO","RCS & RDS","33","RCS & RDS Business","5678","socks4","4814","1","2024-02-06T17:18:15.412Z","89","5377","6035"
"24.147.144.221","elite","AS7015","US","Comcast Cable Communications","107","Comcast Cable Communications Holdings, Inc","15280","socks5","3588","1","2024-02-06T17:18:15.032Z","100","5878","5883"
"202.159.107.1","elite","AS9340","ID","PT IndoInternet","222","N/A","443","socks4","4102","1","2024-02-06T17:18:14.941Z","100","5987","6001"
"139.59.66.145","elite","AS14061","IN","DigitalOcean, LLC","136","DigitalOcean, LLC","41458","socks5","396","1","2024-02-06T17:18:10.042Z","100","5995","6006"
"139.255.86.226","elite","AS9905","ID","PT. LINKNET","328","N/A","5678","socks4","2108","1","2024-02-06T17:18:10.043Z","93","5622","6072"
"24.205.10.252","elite","AS20115","US","Charter Communications","150","Spectrum","30333","socks4","1896","1","2024-02-06T17:18:10.036Z","100","5993","6000"
"5.161.100.145","elite","AS213230","US","Hetzner Online GmbH","81","HETZNER-DC","1080","socks5","4883","2","2024-02-06T17:18:05.228Z","83","4906","5882"
"186.224.225.98","elite","AS53171","BR","Path Telecom S.A.","210","Path Telecom S.A","4145","socks4","5126","1","2024-02-06T17:18:05.241Z","100","6039","6055"
"173.249.2.186","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","45708","socks4","219","82","2024-02-06T17:18:05.622Z","100","5945","5948"
"192.95.29.34","elite","AS16276","CA","OVH SAS","90","OVH Hosting, Inc.","54610","socks4","710","1","2024-02-06T17:18:05.343Z","92","5518","6004"
"98.111.251.101","elite","AS701","US","Verizon Business","93","Verizon Business","1585","socks4","1197","1","2024-02-06T17:18:05.243Z","99","5864","5939"
"128.199.114.180","elite","AS14061","SG","DigitalOcean, LLC","150","DigitalOcean, LLC","7497","socks5","1999","1","2024-02-06T17:18:05.520Z","29","1708","5892"
"36.92.77.241","elite","AS7713","ID","Telekomunikasi Indonesia","280","Temporary","5678","socks4","4900","1","2024-02-06T17:18:05.240Z","73","4428","6043"
"136.144.237.16","elite","AS20857","NL","TransIP BV","17","N/A","5836","socks4","3095","1","2024-02-06T17:18:05.517Z","100","5986","6002"
"184.168.146.10","elite","AS26496","US","GoDaddy.com, LLC","135","GoDaddy.com, LLC","31661","socks5","4001","1","2024-02-06T17:18:05.341Z","97","5765","5974"
"138.36.150.25","elite","AS263729","AR","Pedraza Luis Eduardo","286","Pedraza Luis Eduardo","1080","socks4","4713","1","2024-02-06T17:18:05.518Z","92","5466","5967"
"51.222.84.118","elite","AS16276","CA","OVH SAS","90","OVH Hosting, Inc.","21777","socks4","5175","1","2024-02-06T17:18:05.342Z","100","5975","5976"
"103.70.159.142","elite","AS133720","IN","speednet","182","N/A","5678","socks4","6609","1","2024-02-06T17:18:00.243Z","99","6040","6098"
"45.70.30.196","elite","AS267574","BR","Eltecweb Provedor De Internet Ltda","292","Eltecweb Provedor De Internet Ltda","5566","socks4","3790","1","2024-02-06T17:18:00.241Z","99","5972","6008"
"206.189.200.62","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","13110","socks4","3892","1","2024-02-06T17:17:55.316Z","100","6059","6081"
"182.16.191.202","elite","AS17995","ID","PT iForte Global Internet","765","N/A","5678","socks4","4597","1","2024-02-06T17:17:55.317Z","72","4266","5963"
"198.199.122.10","elite","AS14061","US","DigitalOcean, LLC","94","DigitalOcean, LLC","3128","socks4","4405","1","2024-02-06T17:17:55.315Z","97","5805","5971"
"185.171.54.30","elite","AS44285","IR","Shahrad","101","N/A","4153","socks4","3201","79","2024-02-06T17:17:55.436Z","96","5701","5925"
"91.135.80.66","elite","AS43513","LV","Sia Nano IT","100","SIA Infonet Sistemas","33427","socks5","4905","2","2024-02-06T17:17:55.517Z","100","5996","6020"
"5.9.169.87","elite","AS24940","DE","Hetzner Online GmbH","22","Enterbrain Software GmbH","30000","socks4","2194","1","2024-02-06T17:17:55.345Z","100","6002","6018"
"103.220.205.162","elite","AS59362","BD","KS Network","169","Nazmul Karim Bhuiyan","4673","socks4","5093","1","2024-02-06T17:17:55.404Z","96","5730","5973"
"192.210.196.222","elite","AS36352","US","ColoCrossing","141","RackNerd LLC","10800","socks4","1603","1","2024-02-06T17:17:55.341Z","99","5881","5958"
"139.59.84.117","elite","AS14061","IN","DIGITALOCEAN","130","DigitalOcean, LLC","52125","socks4","4706","1","2024-02-06T17:17:55.344Z","76","4500","5930"
"190.14.229.242","elite","AS27951","CO","Media Commerce Partners S.A","141","Diversiones Del Oriente","5678","socks4","4210","1","2024-02-06T17:17:50.743Z","99","6007","6061"
"5.189.130.207","elite","AS51167","DE","Contabo GmbH","17","Contabo GmbH","10036","socks4","1503","1","2024-02-06T17:17:50.739Z","99","5966","6007"
"185.207.205.134","elite","AS204196","NL","Abelohost BV","18","Abelohost","8001","socks4","4996","1","2024-02-06T17:17:50.745Z","100","6039","6051"
"50.116.8.96","elite","AS63949","US","Akamai Technologies, Inc.","150","Linode","17477","socks5","5096","1","2024-02-06T17:17:45.805Z","100","5932","5940"
"49.49.74.204","elite","AS45629","TH","Triple T Broadband Public Company Limited","174","Triple T Broadband Public Company Limited","5678","socks4","3808","1","2024-02-06T17:17:45.538Z","99","5922","5990"
"51.15.187.125","elite","AS12876","FR","SCALEWAY","6","ONLINE","5836","socks4","3012","1","2024-02-06T17:17:45.708Z","100","5953","5953"
"103.19.129.137","elite","AS132566","IN","Skynet Internet Broadband Pvt. Ltd","125","N/A","83","socks4","1403","1","2024-02-06T17:17:45.708Z","99","5957","6026"
"177.105.67.205","elite","AS262637","BR","Netprimus Tecnologia Ltda","167","Refrescos Guararapes Ltda","4153","socks4","2888","2","2024-02-06T17:17:45.705Z","100","6022","6043"
"46.227.37.1","elite","AS51155","PL","Telemedian - TB Telecom","41","Telemedian","1088","socks4","4896","1","2024-02-06T17:17:45.931Z","100","6045","6063"
"104.251.224.95","elite","AS140042","HK","Prime Security Corp","205","Ctcsci Tech Limited","53384","socks5","2615","1","2024-02-06T17:17:45.709Z","23","1356","6004"
"192.169.197.146","elite","AS398101","US","GoDaddy.com, LLC","199","GoDaddy.com, LLC","55137","socks5","2592","1","2024-02-06T17:17:45.705Z","99","5876","5910"
"197.234.13.30","elite","AS36902","SC","Intelvision","172","Intelvision Ltd","4145","socks4","2903","1","2024-02-06T17:17:45.629Z","99","6016","6060"
"208.113.155.176","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","12886","socks4","4002","1","2024-02-06T17:17:45.539Z","100","5979","5989"
"177.125.160.69","elite","AS262346","BR","FP Telecomunicacoes Ltda","297","FP Telecomunicacoes Ltda","4145","socks4","4306","1","2024-02-06T17:17:45.703Z","73","4397","6043"
"110.185.102.103","elite","AS38283","CN","CHINANET SiChuan Telecom Internet Data Center","298","Chinanet SC","51800","socks4","2603","1","2024-02-06T17:17:45.541Z","85","5067","5969"
"103.47.93.213","elite","AS134058","IN","Broban Internet Services Pvt.ltd","168","Broban  PVT Ltd.","1080","socks4","4690","1","2024-02-06T17:17:45.533Z","99","5990","6036"
"83.168.84.89","elite","AS35179","PL","ESPOL-FH","65","N/A","4153","socks4","3189","1","2024-02-06T17:17:41.137Z","68","4107","6055"
"83.168.84.62","elite","AS35179","PL","ESPOL-FH","65","N/A","4153","socks4","4100","1","2024-02-06T17:17:41.139Z","68","4058","5983"
"126.70.140.73","elite","AS17676","JP","Softbank BB Corp.","290","SOFTBANK Corp","80","socks4","4116","1","2024-02-06T17:17:40.936Z","100","5986","5990"
"106.52.240.130","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","210","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks4","3997","1","2024-02-06T17:17:40.930Z","76","4539","5979"
"104.22.37.236","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4606","2","2024-02-06T17:17:40.933Z","100","6028","6028"
"182.253.159.19","elite","AS17451","ID","BIZNET","165","N/A","4145","socks4","4518","1","2024-02-06T17:17:40.928Z","97","5889","6046"
"157.245.62.1","elite","AS14061","SG","DigitalOcean, LLC","164","DigitalOcean, LLC","9050","socks4","3209","1","2024-02-06T17:17:40.927Z","100","6003","6019"
"43.153.64.134","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","165","Tencent Cloud Computing","443","socks4","3409","1","2024-02-06T17:17:40.932Z","86","5212","6046"
"104.17.66.69","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","2210","82","2024-02-06T17:17:40.844Z","100","6033","6034"
"185.126.40.232","elite","AS49100","IR","Pishgaman Toseeh Ertebatat Company (Private Joint Stock)","137","User","4153","socks4","610","1","2024-02-06T17:17:34.509Z","90","5457","6077"
"221.217.84.154","elite","AS4808","CN","China Unicom Beijing Province Network","190","N/A","23456","socks5","4004","1","2024-02-06T17:17:34.514Z","62","3718","5999"
"61.4.234.239","elite","AS18313","KR","LG HelloVision Corp.","286","HVBuk-incheon","8080","socks5","573","2","2024-02-06T17:17:34.507Z","93","5636","6082"
"104.129.199.34","elite","AS22616","US","ZSCALER, INC.","136","Zscaler, Inc.","8800","socks4","3808","3","2024-02-06T17:17:34.641Z","97","5775","5946"
"46.105.108.208","elite","AS16276","FR","OVH SAS","5","OVH ISP","28477","socks5","4603","1","2024-02-06T17:17:34.808Z","100","6059","6061"
"114.99.13.192","elite","AS4134","CN","Chinanet","230","Chinanet AH","8004","socks5","5687","1","2024-02-06T17:17:34.510Z","61","3715","6124"
"111.223.3.83","elite","AS133989","IN","SBR Telecom Pvt. Ltd","143","SBR Telecom Pvt. Ltd","4145","socks4","2996","1","2024-02-06T17:17:34.734Z","99","6039","6086"
"103.60.138.65","elite","AS134016","IN","Velocity Internet India Private Ltd","151","Velocity Internet India Private Ltd","4153","socks4","4098","1","2024-02-06T17:17:30.037Z","98","5950","6064"
"43.153.175.43","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","232","Tencent Cloud Computing","443","socks5","5003","1","2024-02-06T17:17:30.034Z","95","5680","5993"
"177.184.67.33","elite","AS52898","BR","Multipla Serviços Inteligentes","227","Multipla Serviços Inteligentes","4145","socks4","2703","2","2024-02-06T17:17:25.030Z","75","4529","6046"
"38.127.172.42","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks5","700","84","2024-02-06T17:17:25.134Z","100","6016","6022"
"173.236.182.83","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","12873","socks5","4102","1","2024-02-06T17:17:25.033Z","100","6064","6071"
"89.186.1.169","elite","AS39716","PL","Artur Sienkiewicz","54","VIP","5678","socks4","3695","1","2024-02-06T17:17:25.136Z","98","5799","5931"
"67.149.165.201","elite","AS12083","US","WideOpenWest Finance LLC","106","Wideopenwest Michigan","9090","socks5","4508","1","2024-02-06T17:17:25.029Z","36","2129","5941"
"190.0.22.34","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","153","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","4305","1","2024-02-06T17:17:25.027Z","99","5983","6032"
"182.253.246.31","elite","AS17451","ID","BIZNET","165","N/A","4153","socks4","2215","1","2024-02-06T17:17:24.106Z","98","5797","5906"
"185.108.164.176","elite","AS56503","IR","PJSC \"Badr Rayan Jonoob\"","213","BadrRayan BornaRayan","58154","socks4","1208","1","2024-02-06T17:17:24.110Z","66","3943","5995"
"36.37.244.41","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","190","Viettel (cambodia) Pte., Ltd.","5678","socks4","1996","1","2024-02-06T17:17:24.109Z","96","5775","6018"
"1.1.1.177","elite","AS13335","AU","Cloudflare, Inc","3","APNIC and Cloudflare DNS Resolver project","80","socks4","2092","1","2024-02-06T17:17:24.021Z","100","5968","5968"
"119.17.192.97","elite","AS24173","VN","Netnam Corporation","210","NETNAM","1080","socks4","4695","1","2024-02-06T17:17:24.106Z","100","6018","6031"
"201.140.238.230","elite","AS266148","BR","Mais Fibra Telecomunicacao Ltda","194","Mais Fibra Telecomunicacao Ltda","5678","socks4","3683","1","2024-02-06T17:17:24.939Z","100","6003","6029"
"162.255.110.52","elite","AS54755","US","Desert Winds Wireless","195","Desert Winds Wireless Inc","5678","socks4","5009","1","2024-02-06T17:17:20.242Z","100","5938","5953"
"103.109.59.77","elite","AS138640","BD","HelloTech Limited","183","Hello Tech Limited","15108","socks5","4703","1","2024-02-06T17:17:20.345Z","98","5959","6074"
"177.38.5.45","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","201","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4691","2","2024-02-06T17:17:15.430Z","91","5489","6014"
"192.99.35.177","elite","AS16276","CA","OVH SAS","83","OVH Hosting, Inc.","36077","socks4","2695","1","2024-02-06T17:17:15.526Z","58","3423","5906"
"213.149.103.133","elite","AS8585","ME","Crnogorski Telekom a.d.Podgorica","41","T ComServeri","61859","socks5","4788","4","2024-02-06T17:17:15.440Z","100","6008","6018"
"36.94.110.49","elite","AS7713","ID","PT. Telekomunikasi Indonesia","232","Telekomunikasi Indonesia","5678","socks4","4806","1","2024-02-06T17:17:15.434Z","99","5897","5973"
"140.250.95.25","elite","AS4134","CN","Chinanet","184","Chinanet SD","1080","socks4","5090","1","2024-02-06T17:17:15.435Z","67","4050","6009"
"177.223.238.20","elite","AS52559","BR","Novatec Telecom Ltda","214","Novatec Telecom Ltda","4153","socks4","1696","1","2024-02-06T17:17:15.439Z","99","5946","5999"
"213.231.4.181","elite","AS34661","UA","TOV TRK \"Briz\"","53","Briz","8080","socks4","312","1","2024-02-06T17:17:15.345Z","100","5897","5918"
"177.234.212.90","elite","AS52468","EC","Ufinet Panama S.A.","164","N/A","999","socks5","4111","1","2024-02-06T17:17:15.432Z","100","5979","5990"
"161.97.97.231","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","10050","socks4","4916","1","2024-02-06T17:17:13.904Z","99","5984","6060"
"110.78.153.94","elite","AS131090","TH","CAT-BB","236","N/A","4145","socks4","3690","1","2024-02-06T17:17:13.720Z","66","3916","5977"
"186.216.195.1","elite","AS52973","BR","YIPI Telecom LTDA.","195","YIPI Telecom LTDA","4153","socks4","219","1","2024-02-06T17:17:13.804Z","100","5986","5991"
"103.47.93.244","elite","AS134058","IN","Broban Internet Services Pvt.ltd","145","Broban  PVT Ltd.","1080","socks4","3296","1","2024-02-06T17:17:13.721Z","99","5974","6017"
"158.140.173.212","elite","AS63859","ID","MYREPUBLIC","290","N/A","44550","socks4","5095","1","2024-02-06T17:17:13.803Z","98","5896","6005"
"85.143.254.20","elite","AS56534","RU","Comfortel Ltd.","41","Comfortel Ltd","8080","socks4","242","1","2024-02-06T17:17:10.638Z","100","6012","6030"
"64.90.52.19","elite","AS26347","US","New Dream Network, LLC","198","New Dream Network, LLC","55552","socks4","1707","1","2024-02-06T17:17:10.643Z","100","6041","6044"
"193.106.57.96","elite","AS42510","UA","Magic Line","46","PE \"Magic-line\"","5678","socks4","1209","1","2024-02-06T17:17:10.737Z","94","5657","6042"
"222.124.130.195","elite","AS7713","ID","Telekomunikasi Indonesia","289","PT. TELKOM INDONESIA","4145","socks4","4416","1","2024-02-06T17:17:10.729Z","81","4888","6024"
"171.234.64.234","elite","AS7552","VN","Viettel Corporation","253","VIETEL","80","socks4","4892","1","2024-02-06T17:17:10.736Z","79","4719","5958"
"168.227.158.25","elite","AS52898","BR","Multipla Serviços Inteligentes","289","Multipla Serviços Inteligentes","4145","socks4","687","1","2024-02-06T17:17:10.732Z","99","6056","6099"
"41.70.12.54","elite","AS37215","MW","MAREN-Infrastructure1","213","N/A","5678","socks4","3605","81","2024-02-06T17:17:10.646Z","79","4747","6009"
"185.171.55.218","elite","AS44285","IR","Shahrad Network","100","N/A","4153","socks4","1505","1","2024-02-06T17:17:10.728Z","96","5888","6102"
"122.70.153.17","elite","AS24138","CN","China TieTong Telecommunications Corporation","303","China TieTong Telecommunications Corporation","24138","socks5","70","1","2024-02-06T17:17:05.638Z","54","3253","6059"
"45.235.151.50","elite","AS268202","BR","F R BRAGA INFORMATICA ME","204","F R BRAGA INFORMATICA ME","3629","socks4","3500","1","2024-02-06T17:17:05.640Z","99","5998","6046"
"45.172.108.53","elite","AS265741","AR","GPS SANJUAN SRL.","239","N/A","9991","socks4","3691","1","2024-02-06T17:17:05.731Z","82","4898","5958"
"180.210.222.221","elite","AS203363","GB","Mohammad Saydur Rahman Zia","15","N/A","1080","socks4","4812","1","2024-02-06T17:17:04.603Z","42","2505","6013"
"89.161.90.155","elite","AS39375","PL","Telekomunikacja Podlasie Sp. z o.o.","86","Telekomunikacja Podlasie sp. z o.o.","5678","socks4","4412","1","2024-02-06T17:17:04.507Z","100","6014","6043"
"81.38.223.126","elite","AS3352","ES","Telefonica de Espana SAU","92","RIMA (Red IP Multi Acceso)","4153","socks4","4996","1","2024-02-06T17:17:04.508Z","98","5871","5984"
"80.232.245.122","elite","AS12578","LV","LATTELEKOM","39","Bridge Group","8080","socks4","534","1","2024-02-06T17:17:00.629Z","100","5967","5975"
"116.101.116.41","elite","AS7552","VN","Viettel Corporation","288","Viettel Group","4003","socks4","2602","1","2024-02-06T17:17:00.627Z","61","3594","5915"
"217.198.181.50","elite","AS48031","UA","Ivanov Vitaliy Sergeevich","52","Proline IT Ltd","49582","socks4","4804","1","2024-02-06T17:17:00.938Z","100","5981","5991"
