ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"181.143.204.98","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","161","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","1019","2","2024-02-06T16:56:22.131Z","98","5961","6052"
"195.14.22.173","elite","AS41653","FR","Aqua Ray SAS","2","Aqua Ray","80","socks5","1401","1","2024-02-06T16:56:22.239Z","100","5943","5944"
"1.1.168.61","elite","AS23969","TH","TOT Public Company Limited","167","TOT Public Company Limited","4145","socks4","4701","1","2024-02-06T16:56:17.227Z","74","4462","5990"
"77.37.142.203","elite","AS42610","RU","NCNET","52","N/A","5328","socks4","1502","1","2024-02-06T16:56:17.137Z","93","5534","5942"
"85.199.71.66","elite","AS12693","DE","e.discom","91","KabelSat Bergen GmbH","8080","socks5","4204","1","2024-02-06T16:56:17.135Z","100","5903","5906"
"112.250.211.161","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","183","N/A","38801","socks4","4705","1","2024-02-06T16:56:17.144Z","89","5235","5903"
"171.232.74.46","elite","AS7552","VN","Viettel Corporation","288","VIETEL","4005","socks4","4911","1","2024-02-06T16:56:17.142Z","91","5476","5989"
"43.134.230.122","elite","AS132203","SG","Aceville Pte.ltd","337","N/A","443","socks4","3590","1","2024-02-06T16:56:17.133Z","91","5477","6037"
"103.245.205.142","elite","AS9441","BD","Next Online Limited","157","Nextonline Limited","35158","socks4","3805","1","2024-02-06T16:56:12.339Z","98","5781","5902"
"159.223.117.14","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","24006","socks5","4897","1","2024-02-06T16:56:12.337Z","89","5218","5893"
"27.184.145.168","elite","AS4134","CN","Chinanet","205","Chinanet HE","21212","socks5","797","1","2024-02-06T16:56:12.329Z","41","2463","5979"
"139.59.99.83","elite","AS14061","SG","DIGITALOCEAN","150","DigitalOcean, LLC","80","socks5","4310","1","2024-02-06T16:56:12.335Z","100","5929","5936"
"200.33.152.253","elite","AS268976","BR","Weclix Telecom S/A","297","Weclix Telecom S/A","4153","socks4","5283","1","2024-02-06T16:56:12.331Z","97","5862","6062"
"46.227.37.185","elite","AS51155","PL","Telemedian - TB Telecom","42","Telemedian","1088","socks4","4996","1","2024-02-06T16:56:07.533Z","100","5966","5984"
"114.231.8.16","elite","AS4134","CN","Chinanet","282","Chinanet JS","1080","socks5","5004","3","2024-02-06T16:56:07.241Z","59","3520","5991"
"104.21.85.109","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","2605","1","2024-02-06T16:56:07.329Z","100","6039","6040"
"104.19.235.10","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4796","1","2024-02-06T16:56:07.327Z","100","5978","5978"
"185.128.153.79","elite","AS5484","IR","Shabakeh Gostar Shahriyar Co. (Ltd.)","181","CIS IT Group","3128","socks4","3403","1","2024-02-06T16:56:07.337Z","95","5657","5942"
"177.38.5.61","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","289","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4197","1","2024-02-06T16:56:07.234Z","96","5680","5896"
"45.56.83.46","elite","AS63949","US","Akamai Technologies, Inc.","197","Linode","8047","socks4","3101","1","2024-02-06T16:56:02.342Z","98","5852","5991"
"66.42.63.207","elite","AS20473","SG","Choopa","153","N/A","13802","socks5","5898","1","2024-02-06T16:56:02.441Z","99","5940","6007"
"217.25.215.194","elite","AS47165","RU","Omskie kabelnye seti Ltd.","92","Omskie kabelnye seti Ltd","4153","socks4","4098","1","2024-02-06T16:56:02.334Z","100","6002","6017"
"64.90.50.227","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","55552","socks5","1307","80","2024-02-06T16:56:02.335Z","100","5977","5981"
"46.227.37.73","elite","AS51155","PL","Telemedian - TB Telecom","40","Telemedian","51155","socks4","3585","1","2024-02-06T16:55:57.630Z","100","6004","6019"
"202.159.35.177","elite","AS9340","ID","PT IndoInternet","164","N/A","443","socks4","4188","1","2024-02-06T16:55:57.431Z","100","6017","6045"
"202.50.202.65","elite","AS55696","ID","PT Starcom Solusindo","182","N/A","48617","socks4","3187","1","2024-02-06T16:55:57.439Z","99","5897","5948"
"27.151.29.27","elite","AS133774","CN","Fuzhou","237","Chinanet FJ","2080","socks5","4586","1","2024-02-06T16:55:57.430Z","28","1671","6014"
"47.112.157.97","elite","AS37963","CN","Addresses CNNIC","217","Aliyun Computing Co., LTD","8060","socks5","1306","1","2024-02-06T16:55:57.438Z","87","5137","5916"
"186.126.17.219","elite","AS7303","AR","Telecom Argentina S.A.","268","Telecom Personal Bs","1080","socks5","3492","1","2024-02-06T16:55:57.428Z","43","2641","6108"
"152.70.246.185","elite","AS31898","KR","Oracle Corporation","238","Oracle Cloud Infrastructure (ap-seoul-1)","31898","socks5","3095","1","2024-02-06T16:55:52.640Z","99","5988","6040"
"139.59.35.1","elite","AS14061","IN","DigitalOcean, LLC","193","DigitalOcean, LLC","42675","socks4","4688","1","2024-02-06T16:55:52.635Z","58","3531","6065"
"45.7.176.78","elite","AS266626","BR","Litoral Telecom","173","Litoral Telecom","52246","socks4","3795","94","2024-02-06T16:55:52.630Z","99","5948","6023"
"185.94.6.178","elite","AS200848","CZ","ISP Alliance a.s.","30","GRAPE SC","4145","socks4","5098","2","2024-02-06T16:55:47.838Z","100","6015","6037"
"138.197.138.160","elite","AS14061","CA","DigitalOcean, LLC","94","DigitalOcean, LLC","10181","socks5","4713","1","2024-02-06T16:55:47.929Z","100","6065","6067"
"18.217.169.2","elite","AS16509","US","Amazon.com, Inc.","88","AWS EC2 (us-east-2)","80","socks4","3388","1","2024-02-06T16:55:47.845Z","100","5957","5962"
"149.28.44.246","elite","AS20473","US","The Constant Company","86","Vultr Holdings, LLC","10041","socks4","4802","1","2024-02-06T16:55:47.840Z","78","4680","5969"
"118.174.219.163","elite","AS23969","TH","TOT Public Company Limited","157","TOT Public Company Limited","4153","socks4","4291","1","2024-02-06T16:55:42.049Z","68","4058","5946"
"178.168.208.4","elite","AS25106","BY","Mobile TeleSystems JLLC","57","N/A","5678","socks4","4413","1","2024-02-06T16:55:41.940Z","8","489","6019"
"177.72.115.25","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","195","Prompt Brasil Solucoes EM TI Ltda","31164","socks4","1104","1","2024-02-06T16:55:41.937Z","100","6032","6056"
"27.123.3.141","elite","AS45706","ID","PT Tele Globe Global","182","N/A","4145","socks4","3598","1","2024-02-06T16:55:41.927Z","99","5940","6006"
"157.245.134.203","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","12851","socks4","1889","1","2024-02-06T16:55:41.839Z","86","5123","5966"
"185.162.230.178","elite","AS209242","GB","Cloudflare London, LLC","81","Softconstruct Limited","80","socks4","4703","1","2024-02-06T16:55:36.540Z","100","5919","5921"
"45.70.206.33","elite","AS267586","BR","Rafael Pierre Barbosa - Me","177","Rafael Pierre Barbosa - Me","4145","socks4","4801","1","2024-02-06T16:55:36.628Z","100","5997","6021"
"118.212.48.80","elite","AS4837","CN","CNC Group CHINA169 Jiangxi Province Network","189","N/A","8003","socks4","2488","1","2024-02-06T16:55:36.541Z","64","3786","5948"
"5.252.179.222","elite","AS39798","RU","MivoCloud Russia","54","MivoCloud SRL","32109","socks5","3797","1","2024-02-06T16:55:32.037Z","100","5864","5883"
"80.52.223.98","elite","AS5617","PL","Orange Polska Spolka Akcyjna","42","Orange Polska S.A.","5678","socks4","3593","3","2024-02-06T16:55:32.035Z","98","5911","6010"
"115.242.248.226","elite","AS55836","IN","Reliance Jio Infocomm Limited","173","Reliance Jio Infocomm Limited","5678","socks4","5211","1","2024-02-06T16:55:31.935Z","93","5585","6022"
"110.78.153.94","elite","AS131090","TH","CAT-BB","244","N/A","4145","socks4","3690","1","2024-02-06T16:55:31.937Z","66","3915","5976"
"75.176.225.10","elite","AS11426","US","Spectrum","110","Road Runner","33150","socks4","2801","1","2024-02-06T16:55:31.928Z","99","5955","6044"
"190.239.23.33","elite","AS6147","PE","Telefonica del Peru","196","PE-TDPERX5-LACNIC","5678","socks4","3798","1","2024-02-06T16:55:27.030Z","98","5756","5902"
"103.228.246.129","elite","AS59282","ID","PT Giga Patra Multimedia","172","GPM","5678","socks4","3903","1","2024-02-06T16:55:27.028Z","98","5893","6042"
"103.40.122.194","elite","AS63508","ID","PT DINAMIKA MEDIAKOM","198","N/A","1080","socks4","1695","1","2024-02-06T16:55:27.032Z","97","5831","5994"
"202.4.107.70","elite","AS23956","BD","dhakaCom Limited","181","DhakaCom Limited","5678","socks4","4390","1","2024-02-06T16:55:27.039Z","98","5784","5914"
"41.60.233.182","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","210","Liquid Telecommunications Operations Limited","5678","socks4","1885","2","2024-02-06T16:55:26.944Z","86","5230","6048"
"103.70.159.156","elite","AS133720","IN","speednet","115","N/A","5678","socks4","3913","1","2024-02-06T16:55:22.143Z","99","6045","6098"
"5.8.240.92","elite","AS3178","IQ","FastLine Communication And Information Technology","91","FastLine Communication And Information Technology Ltd","4153","socks4","3798","1","2024-02-06T16:55:22.134Z","99","5957","6009"
"104.255.170.67","elite","AS397373","US","H4Y Technologies LLC","157","N/A","59874","socks4","2593","1","2024-02-06T16:55:22.142Z","100","6051","6060"
"179.189.196.52","elite","AS52626","BR","NovaNet Provedor e Web Ltda","299","NovaNet Provedor e Web Ltda","5678","socks4","4484","1","2024-02-06T16:55:17.344Z","49","2972","6017"
"118.173.73.118","elite","AS23969","TH","TOT Public Company Limited","162","TOT Public Company Limited","4145","socks4","3406","1","2024-02-06T16:55:17.336Z","47","2771","5956"
"104.18.103.125","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","socks4","2697","1","2024-02-06T16:55:17.428Z","100","5944","5944"
"177.190.192.57","elite","AS262731","BR","Ctinet Solucoes EM Conectividade E Informatica LTD","197","Ctinet Solucoes EM Conectividade E Informatica LTD","61221","socks4","1016","1","2024-02-06T16:55:17.432Z","97","5805","5992"
"163.172.115.17","elite","AS12876","FR","Online S.A.S.","1","ONLINE","24474","socks4","4101","1","2024-02-06T16:55:17.430Z","99","5963","6033"
"130.61.31.199","elite","AS31898","DE","Oracle Corporation","11","Oracle Cloud Infrastructure (eu-frankfurt-1)","65002","socks4","4984","2","2024-02-06T16:55:17.431Z","31","1866","6009"
"82.202.196.126","elite","AS50340","RU","OOO \"Network of data-centers \"Selectel\"","48","N/A","9050","socks5","4991","1","2024-02-06T16:55:17.338Z","100","6015","6018"
"46.227.37.61","elite","AS51155","PL","Telemedian - TB Telecom","98","Telemedian","1088","socks4","4210","1","2024-02-06T16:55:17.528Z","100","6062","6086"
"190.0.244.146","elite","AS27951","CO","Media Commerce Partners S.A","157","Gonzalez Florez Radiologia Especializada SA","4153","socks4","2897","1","2024-02-06T16:55:17.343Z","99","5939","6020"
"200.81.144.1","elite","AS270934","BR","Silva de Sá Informática LTDA","215","Silva de Sá Informática LTDA","1080","socks4","2488","1","2024-02-06T16:55:12.430Z","99","6014","6046"
"212.50.19.150","elite","AS8717","BG","Spectrum NET","97","N/A","4153","socks4","4799","1","2024-02-06T16:55:12.333Z","86","5224","6046"
"177.38.5.21","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","286","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4699","1","2024-02-06T16:55:12.341Z","85","5072","5957"
"202.55.175.237","elite","AS17769","ID","PT Indopratama Teleglobal (ISP)Wisma BSG Floor 6","163","Citynet","1080","socks4","4699","1","2024-02-06T16:55:12.331Z","98","5911","6023"
"203.217.169.207","elite","AS131207","KH","S.I Group","289","Sigroups","4153","socks4","4298","85","2024-02-06T16:55:07.329Z","96","5754","6017"
"112.194.89.99","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","196","N/A","44313","socks5","4499","1","2024-02-06T16:55:07.332Z","72","4332","5991"
"103.94.133.92","elite","AS136128","ID","PT CITRA AKSES INDONUSA","165","PT CITRA AKSES INDONUSA","4153","socks4","1892","1","2024-02-06T16:55:07.244Z","99","6011","6099"
"180.183.1.84","elite","AS45629","TH","Triple T Broadband Public Company Limited","281","Triple T Broadband Public Company Limited","8080","socks5","5286","1","2024-02-06T16:55:07.240Z","99","5819","5876"
"198.211.99.26","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","9300","socks5","4094","1","2024-02-06T16:55:07.345Z","100","6067","6082"
"93.126.62.193","elite","AS44375","IR","Asmanfaraz Sepahan Company (P.J.S)","120","Asmanfaraz Sepahan Isdp","4153","socks4","3903","1","2024-02-06T16:55:07.330Z","97","5752","5931"
"138.94.92.26","elite","AS264145","BR","FACILNET PROVEDOR E SERVIÇOS EIRELI","295","FACILNET PROVEDOR E SERVIÇOS EIRELI","7497","socks5","890","1","2024-02-06T16:55:07.327Z","98","5861","5981"
"104.16.105.142","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","2293","1","2024-02-06T16:55:07.243Z","100","5940","5940"
"89.38.97.57","elite","AS49981","NL","WorldStream B.V.","12","Worldstream","14368","socks4","2901","1","2024-02-06T16:55:07.333Z","88","5264","6012"
"161.97.156.209","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","29118","socks5","4611","1","2024-02-06T16:55:02.240Z","100","5866","5868"
"177.125.206.169","elite","AS262346","BR","FP Telecomunicacoes Ltda","296","FP Telecomunicacoes Ltda","4145","socks4","4894","1","2024-02-06T16:55:02.239Z","75","4450","5958"
"81.162.199.93","elite","AS34955","CZ","Martin Vicenik","91","VicenikRoute","4153","socks4","4999","1","2024-02-06T16:55:02.243Z","100","6005","6024"
"206.192.226.90","elite","AS25899","US","LS Networks","178","LS Networks","39593","socks4","3108","1","2024-02-06T16:55:02.237Z","100","6074","6087"
"192.46.233.158","elite","AS63949","DE","Akamai Technologies, Inc.","11","Linode, LLC","61968","socks5","5091","1","2024-02-06T16:55:02.340Z","50","3027","6017"
"37.152.163.238","elite","AS198569","IR","Rahanet Zanjan Co. (Private Joint-Stock)","146","Rahanet Zanjan Co.","4153","socks4","5113","1","2024-02-06T16:55:02.236Z","95","5690","6007"
"37.221.146.138","elite","AS3255","UA","Radio Service Ltd.","82","Radio Service Ltd","1080","socks5","70","1","2024-02-06T16:55:02.343Z","86","5177","6010"
"209.143.1.244","elite","AS7106","US","Com Net, Inc","93","Com","80","socks4","4905","1","2024-02-06T16:54:57.631Z","100","5993","6017"
"177.131.29.211","elite","AS262378","BR","Compuservice Empreendimentos Ltda","193","Compuservice Empreendimentos Ltda","4153","socks4","1904","1","2024-02-06T16:54:57.633Z","99","5883","5962"
"110.185.102.103","elite","AS38283","CN","CHINANET SiChuan Telecom Internet Data Center","282","Chinanet SC","51800","socks4","2603","1","2024-02-06T16:54:57.636Z","85","5066","5968"
"142.44.194.14","elite","AS16276","BR","OVH Hosting","88","NVA Hosting","80","socks4","4497","1","2024-02-06T16:54:57.637Z","57","3406","6008"
"190.96.97.170","elite","AS262223","EC","Necusoft Cia. Ltda.","172","N/A","5678","socks4","3287","1","2024-02-06T16:54:57.627Z","37","2205","6012"
"185.169.181.18","elite","AS34984","TR","Ates Dc","83","Ibrahim MALA trading as Ates Dc","34984","socks4","494","1","2024-02-06T16:54:53.229Z","100","5981","6000"
"45.112.125.51","elite","AS58369","ID","FIBERNET","163","N/A","4145","socks4","4408","1","2024-02-06T16:54:53.033Z","99","5968","6031"
"202.6.225.92","elite","AS23756","ID","PT Padi Internet","188","N/A","1080","socks5","3419","1","2024-02-06T16:54:53.041Z","88","5232","5957"
"115.42.64.40","elite","AS132165","PK","Connect Communication","145","Connect Communication","5678","socks4","796","81","2024-02-06T16:54:53.036Z","95","5685","6000"
"212.43.122.158","elite","AS21034","IT","MICSO-WADSL","37","Micso S.r.l.","1080","socks4","4902","1","2024-02-06T16:54:53.032Z","100","6012","6014"
"38.127.172.198","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks4","1402","1","2024-02-06T16:54:53.227Z","100","5968","5980"
"46.98.247.92","elite","AS15377","UA","ISP \"Fregat\"","43","ISP \"Fregat\" Ltd","1080","socks4","3701","1","2024-02-06T16:54:53.040Z","99","5936","6001"
"49.51.69.212","elite","AS132203","US","OPHL","149","Tencent cloud computing (Beijing) Co., Ltd.","21127","socks5","3707","1","2024-02-06T16:54:53.145Z","19","1172","6047"
"49.48.142.127","elite","AS45629","TH","Triple T Broadband Public Company Limited","198","Triple T Broadband Public Company Limited","8080","socks4","2697","1","2024-02-06T16:54:53.030Z","74","4401","5981"
"82.137.224.193","elite","AS29256","SY","ISP-TARASSUL","54","N/A","8291","socks4","2809","1","2024-02-06T16:54:53.144Z","99","6048","6093"
"218.17.253.158","elite","AS4134","CN","Chinanet","213","Chinanet GD","9999","socks4","1902","1","2024-02-06T16:54:47.344Z","87","5156","5957"
"43.130.47.27","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","21127","socks5","4908","1","2024-02-06T16:54:47.428Z","49","2972","6049"
"118.174.209.124","elite","AS23969","TH","TOT Public Company Limited","152","TOT Public Company Limited","4145","socks4","3602","1","2024-02-06T16:54:47.341Z","50","2984","5950"
"181.197.199.216","elite","AS27833","AR","Bvnet S.A.","239","Bvnet S.A","2135","socks4","4703","1","2024-02-06T16:54:47.343Z","92","5550","6006"
"103.35.108.206","elite","AS23991","BD","Ranks ITT","164","Ranks ITT Ltd.","4145","socks4","1191","1","2024-02-06T16:54:47.532Z","99","6007","6043"
"201.20.79.18","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A","178","Betânia Lácteos S/A","5678","socks5","2189","1","2024-02-06T16:54:47.432Z","100","5880","5896"
"110.77.184.178","elite","AS131090","TH","CAT Telecom Public Company Limited","227","CAT BB","4145","socks4","4908","1","2024-02-06T16:54:42.735Z","92","5541","6009"
"200.81.144.17","elite","AS270934","BR","Silva de Sá Informática LTDA","219","Silva de Sá Informática LTDA","1080","socks4","1318","81","2024-02-06T16:54:42.731Z","100","6083","6108"
"51.254.32.143","elite","AS16276","FR","OVH SAS","12","OVH","80","socks5","4607","1","2024-02-06T16:54:42.729Z","100","5923","5923"
"37.186.5.16","elite","AS8540","AT","AMA netwoRX GmbH","67","KELAG-Karntner Elektrizitats - Aktiengesellschaft","5678","socks4","4190","1","2024-02-06T16:54:42.732Z","100","6042","6049"
"185.208.172.27","elite","AS202269","DE","BitCommand","19","BitCommand LLC","10204","socks4","3008","1","2024-02-06T16:54:37.937Z","63","3771","5956"
"223.25.98.82","elite","AS9341","ID","PT Indonesia Comnets Plus","208","Sinerginet","5678","socks4","4000","1","2024-02-06T16:54:37.927Z","90","5529","6132"
"203.24.108.194","elite","AS209242","CY","Cloudflare London, LLC","80","Lachtaristo Holdings Limited","80","socks4","1896","1","2024-02-06T16:54:37.839Z","100","5914","5915"
"103.136.127.140","elite","AS48024","SG","Nerocloud LTD","150","Internet Keeper Global (Singapore) Pte Ltd","40000","socks5","1507","1","2024-02-06T16:54:37.932Z","88","5312","6060"
"139.60.183.10","elite","AS14979","PR","Aeronet Wireless","137","Aeronet Wireless","4153","socks4","1910","2","2024-02-06T16:54:37.833Z","98","5871","5982"
"45.77.111.135","elite","AS20473","US","The Constant Company","181","Vultr Holdings, LLC","15082","socks5","1192","1","2024-02-06T16:54:37.930Z","100","6015","6017"
"183.88.37.94","elite","AS45629","TH","Triple T Broadband Public Company Limited","187","Triple T Broadband Public Company Limited","8080","socks4","4489","1","2024-02-06T16:54:37.841Z","92","5468","5964"
"185.36.132.223","elite","AS199752","NL","Go-Trex Internet Solution Partner","22","Go-Trex","9050","socks5","3992","1","2024-02-06T16:54:33.133Z","100","5964","5967"
"180.183.134.72","elite","AS45629","TH","Triple T Broadband Public Company Limited","164","Triple T Broadband Public Company Limited","8080","socks4","708","1","2024-02-06T16:54:33.041Z","94","5577","5943"
"222.74.65.84","elite","AS4134","CN","Chinanet","187","Chinanet NM","38051","socks5","4304","1","2024-02-06T16:54:33.135Z","85","5102","6017"
"110.78.186.90","elite","AS131090","TH","CAT-BB","241","N/A","4145","socks4","4799","1","2024-02-06T16:54:33.134Z","60","3637","6031"
"189.126.14.226","elite","AS270316","BR","NET NOVO TEMPO","285","NET NOVO TEMPO","1080","socks4","4195","1","2024-02-06T16:54:33.129Z","98","5959","6087"
"188.214.129.3","elite","AS16125","LT","UAB Cherry Servers","39","N/A","4048","socks5","3694","1","2024-02-06T16:54:28.527Z","89","5233","5899"
